Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Board to Board,
"MB1, MB10, MB11, MB12, MB13, MB14, MB15, MB2, MB3, MB4, MB5, MB6, MB7, MB8, MB9",MiniBadge_Slot_Reflective,15,MiniBadge_Full,
